회사명,종목코드,업종,업종2,업종PER,PER,PBR
CJ제일제당,097950,기타 식품 제조업,항공화물운송과물류,12.60,8.91,1.24
바이오톡스텍,086040,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,40.00,5.14
팬오션,028670,해상 운송업,해운사,116.29,19.11,0.85
아이엠이연이,090740,전자부품 제조업,디스플레이장비및부품,86.49,N/A,N/A
옴니시스템,057540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,N/A,N/A
푸른기술,094940,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,213.49,2.84
웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",통신장비,-92.63,N/A,N/A
한진중공업,097230,토목 건설업,건설,7.01,2.62,1.69
빅솔론,093190,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,12.85,0.52
JW홀딩스,096760,기타 금융업,제약,99.58,N/A,N/A
S&K폴리텍,091340,전자부품 제조업,전자장비와기기,65.66,50.56,0.62
SK이노베이션,096770,석유 정제품 제조업,석유와가스,-13.96,N/A,N/A
율호,072770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,222.00,3.27
갤럭시아머니트리,094480,소프트웨어 개발 및 공급업,IT서비스,24.96,19.55,1.80
에코프로,086520,기타 화학제품 제조업,화학,69.00,43.62,4.51
MP그룹,065150,음·식료품 및 담배 도매업,"호텔,레스토랑,레저",-25.26,N/A,N/A
컴투스,078340,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,22.31,1.94
네오위즈,095660,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,12.19,1.44
삼성카드,029780,기타 금융업,카드,9.10,9.09,0.49
앤씨앤,092600,반도체 제조업,반도체와반도체장비,20.53,N/A,N/A
엔텔스,069410,소프트웨어 개발 및 공급업,IT서비스,24.96,15.11,1.62
베트남개발1,096300,신탁업 및 집합투자업,N/A,N/A,N/A,N/A
알루코,001780,1차 비철금속 제조업,비철금속,21.86,84.66,1.75
풍강,093380,기타 금속 가공제품 제조업,자동차부품,46.67,34.56,0.67
웅진씽크빅,095720,초등 교육기관,교육서비스,-19.84,N/A,N/A
동국제약,086450,의약품 제조업,제약,99.58,22.15,3.45
케이프,064820,선박 및 보트 건조업,조선,-22.00,13.98,0.88
상신이디피,091580,일차전지 및 축전지 제조업,핸드셋,-202.00,38.59,2.87
한라IMS,092460,선박 및 보트 건조업,조선,-22.00,19.78,0.86
에프알텍,073540,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
이엠텍,091120,전자부품 제조업,핸드셋,-202.00,N/A,N/A
참좋은여행,094850,여행사 및 기타 여행보조 서비스업,"호텔,레스토랑,레저",-25.26,13.34,1.64
코닉글로리,094860,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
맵스리얼티1,094800,신탁업 및 집합투자업,N/A,N/A,N/A,N/A
이베스트투자증권,078020,금융 지원 서비스업,증권,6.53,4.53,0.64
매커스,093520,기계장비 및 관련 물품 도매업,전자장비와기기,65.66,13.32,1.24
오스템임플란트,048260,의료용 기기 제조업,건강관리장비와용품,208.42,15.38,6.84
나노캠텍,091970,플라스틱제품 제조업,화학,69.00,N/A,N/A
네오팜,092730,기타 화학제품 제조업,화장품,89.76,14.59,2.31
비에이치,090460,전자부품 제조업,전자장비와기기,65.66,19.71,1.82
오스코텍,039200,의약품 제조업,생물공학,-54.63,N/A,N/A
켐트로닉스,089010,기타 화학제품 제조업,화학,69.00,43.60,4.34
제이스텍,090470,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
동아엘텍,088130,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,9.80,0.52
메타랩스,090370,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,N/A,N/A
후성,093370,기초 화학물질 제조업,화학,69.00,N/A,N/A
휴온스글로벌,084110,의약품 제조업,제약,99.58,9.71,0.82
케이씨티,089150,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터와주변기기,-34.95,67.69,2.45
파트론,091700,전자부품 제조업,핸드셋,-202.00,40.35,1.65
유니테스트,086390,특수 목적용 기계 제조업,반도체와반도체장비,20.53,N/A,N/A
휴림로봇,090710,특수 목적용 기계 제조업,기계,-29.49,8.71,2.17
LF,093050,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,10.64,0.35
에스에이티,060540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",핸드셋,-202.00,11.64,0.77
큐에스아이,066310,반도체 제조업,반도체와반도체장비,20.53,N/A,N/A
멀티캠퍼스,067280,기타 교육기관,교육서비스,-19.84,18.33,1.76
주연테크,044380,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,N/A,N/A
코스맥스비티아이,044820,기타 금융업,제약,99.58,35.55,0.51
이노와이즈,086250,특수 목적용 기계 제조업,자동차부품,46.67,N/A,N/A
코세스,089890,특수 목적용 기계 제조업,반도체와반도체장비,20.53,17.21,3.91
인천도시가스,034590,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,10.39,0.55
성창오토텍,080470,자동차 신품 부품 제조업,자동차부품,46.67,516.11,1.76
넥스턴,089140,유리 및 유리제품 제조업,기계,-29.49,N/A,N/A
제이티,089790,특수 목적용 기계 제조업,반도체와반도체장비,20.53,25.73,3.09
광진윈텍,090150,자동차 신품 부품 제조업,자동차부품,46.67,23.27,0.95
이녹스,088390,그외 기타 운송장비 제조업,레저용장비와제품,-33.68,N/A,N/A
삼정펄프,009770,"펄프, 종이 및 판지 제조업",가정용품,14.53,3.08,0.35
KEC,092220,반도체 제조업,반도체와반도체장비,20.53,N/A,N/A
KPX홀딩스,092230,기초 화학물질 제조업,화학,69.00,4.70,0.37
THE E&M,089230,기타 정보 서비스업,양방향미디어와서비스,136.40,N/A,N/A
바텍,043150,의료용 기기 제조업,건강관리장비와용품,208.42,25.87,1.50
한컴MDS,086960,소프트웨어 개발 및 공급업,소프트웨어,86.51,333.33,1.12
HDC현대EP,089470,기타 화학제품 제조업,자동차부품,46.67,14.42,0.62
루멘스,038060,반도체 제조업,디스플레이장비및부품,86.49,N/A,N/A
