회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
구스앤홈,329050,직물직조 및 직물제품 제조업,KONEX,FICS  섬유 및 의복,-,-,-
세틀뱅크,234340,기타 정보 서비스업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,21.38,63.90,2.43
아이스크림에듀,289010,"서적, 잡지 및 기타 인쇄물 출판업",KOSDAQ  코스닥 제조,FICS  교육,18.98,265.86,1.33
펨토바이오메드,327610,자연과학 및 공학 연구개발업,KONEX,FICS  의료 장비 및 서비스,-,-,19.23
펌텍코리아,251970,플라스틱제품 제조업,KOSDAQ  코스닥 제조,FICS  용기 및 포장,9.99,265.86,1.26
에이에프더블류,312610,일차전지 및 축전지 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,15.97,265.86,1.36
티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업",KONEX,FICS  보안장비,-,-,0.99
신영스팩5호,323280,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.08
케이비제18호스팩,323940,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,216.91,22.62,1.06
엠에프엠코리아,323230,편조의복 제조업,KOSDAQ  코스닥 제조,FICS  섬유 및 의복,29.07,265.86,1.50
압타바이오,293780,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,-,-,8.82
까스텔바작,308100,"섬유, 의복, 신발 및 가죽제품 소매업",KOSDAQ  코스닥 유통,FICS  섬유 및 의복,12.84,428.28,1.20
마이크로디지탈,305090,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,6.22
