,회사명,종목코드,업종,업종2,업종PER,PER,PBR
2101,한국특수형강,007280,1차 철강 제조업,철강,41.6,,0.90
2102,한솔로지스틱스,009180,기타 운송관련 서비스업,항공화물운송과물류,12.6,8.97,1.42
2103,삼양통상,002170,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,4.14,0.5
2104,SK텔레콤,017670,전기 통신업,무선통신서비스,13.56,18.11,0.75
2105,진양폴리우레탄,010640,플라스틱제품 제조업,화학,69.0,16.49,1.19
2106,미창석유공업,003650,석유 정제품 제조업,석유와가스,-13.96,5.80,0.36
2107,삼익THK,004380,일반 목적용 기계 제조업,기계,-29.49,39.38,1.32
2108,미원상사,002840,기타 화학제품 제조업,화학,69.0,15.99,2.65
2109,서연,007860,기타 금융업,자동차부품,46.67,,0.44
2110,SBI인베스트먼트,019550,신탁업 및 집합투자업,창업투자,20.78,12.48,2.02
2111,세우글로벌,013000,기타 전문 도매업,판매업체,-13.71,27.14,2.12
2112,현대모비스,012330,자동차 신품 부품 제조업,자동차부품,46.67,20.22,0.94
2113,쎌마테라퓨틱스,015540,기타 사업지원 서비스업,판매업체,-13.71,,21.36
2114,KG케미칼,001390,기초 화학물질 제조업,화학,69.0,28.46,0.79
2115,대우부품,009320,자동차 신품 부품 제조업,자동차부품,46.67,,3.68
2116,현대해상,001450,보험업,손해보험,6.87,5.06,0.33
2117,현대그린푸드,005440,종합 소매업,식품과기본식료품소매,128.99,20.75,0.44
2118,한국전력공사,015760,전기업,전기유틸리티,69.53,166.32,0.22
2119,국도화학,007690,기초 화학물질 제조업,화학,69.0,9.46,0.53
2120,녹십자,006280,의약품 제조업,제약,99.58,116.15,4.5
2121,SIMPAC,009160,특수 목적용 기계 제조업,기계,-29.49,79.27,0.43
2122,윌비스,008600,생활용품 도매업,"섬유,의류,신발,호화품",33.35,,0.86
2123,대창단조,015230,자동차 신품 부품 제조업,기계,-29.49,7.46,0.49
2124,사조산업,007160,어로 어업,식품,29.07,,0.45
2125,한익스프레스,014130,도로 화물 운송업,항공화물운송과물류,12.6,13.39,1.01
2126,사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,20.66,0.71
2127,경인전자,009140,전자부품 제조업,전자제품,41.38,19.07,0.74
2128,무림P&P,009580,"펄프, 종이 및 판지 제조업",종이와목재,41.06,32.35,0.53
